Date,Time,Entries,Place
2009,00 00 00,1,Heritage Collections Entry
2009,00 00 00,2,John Oxley Collection
2009,00 00 00,8,Reception/Security
2009,00 00 00,3,The Library Shop
2009,00 00 00,1,Reception/Security
2009,00 00 00,4,The Library Shop
2009,00 00 00,1,Heritage Collections Entry
2009,00 00 00,1,John Oxley Collection
2009,00 00 00,4,Reception/Security
2009,00 00 00,1,Infozone
2009,00 00 00,2,Reception/Security
2009,00 00 00,2,The Library Shop
2009,00 00 00,2,Heritage Collections Entry
2009,00 00 00,2,John Oxley Collection
2009,00 00 00,2,Reception/Security
2009,00 00 00,2,Reception/Security
2009,00 00 00,23,Reception/Security
2009,00 00 00,3,Reception/Security
2009,00 00 00,3,Heritage Collections Entry
2009,00 00 00,2,Heritage Collections Entry
2009,00 00 00,3,Reception/Security
2009,00 00 00,3,The Library Shop
2009,00 00 00,1,Reception/Security
2009,00 00 00,1,Reception/Security
2009,00 00 00,2,John Oxley Collection
2009,00 00 00,2,The Library Shop
2009,00 00 00,1,Micrographics
2009,00 00 00,2,John Oxley Collection
2009,00 00 00,1,Phillip Bacon Gallery
2009,00 00 00,1,Reception/Security
2009,00 00 00,2,Infozone
2009,00 00 00,1,Micrographics
2009,00 00 00,1,Heritage Collections Entry
2009,00 00 00,2,John Oxley Collection
2009,00 00 00,1,Phillip Bacon Gallery
2009,00 00 00,1,John Oxley Collection
2009,00 00 00,2,Reception/Security
2009,00 00 00,1,Reception/Security
2009,00 00 00,1,Infozone
2009,00 00 00,4,The Library Shop
2009,00 00 00,2,Phillip Bacon Gallery
2009,00 00 00,1,Reception/Security
2009,00 00 00,1,Infozone
2009,00 00 00,1,Reception/Security
2009,00 00 00,2,The Library Shop
2009,00 00 00,1,Heritage Collections Entry
2009,00 00 00,1,John Oxley Collection
2009,00 00 00,2,Phillip Bacon Gallery
2009,00 00 00,4,Reception/Security
2009,00 00 00,4,Heritage Collections Entry
2009,00 00 00,5,Reception/Security
2009,00 00 00,4,Reception/Security
2009,00 00 00,3,Infozone
2009,00 00 00,1,Reception/Security
2009,00 00 00,1,Infozone
2009,00 00 00,5,The Library Shop
2009,00 00 00,3,Heritage Collections Entry
2009,00 00 00,1,John Oxley Collection
2009,00 00 00,2,Phillip Bacon Gallery
2009,00 00 00,1,Reception/Security
2009,00 00 00,4,Reception/Security
2009,00 00 00,2,Reception/Security
2009,00 00 00,1,Reception/Security
2009,01 00 00,2,The Library Shop
2009,01 00 00,1,John Oxley Collection
2009,01 00 00,2,Phillip Bacon Gallery
2009,01 00 00,1,Infozone
2009,01 00 00,3,The Library Shop
2009,01 00 00,1,Heritage Collections Entry
2009,01 00 00,2,John Oxley Collection
2009,01 00 00,1,Infozone
2009,01 00 00,1,John Oxley Collection
2009,01 00 00,3,Phillip Bacon Gallery
2009,01 00 00,11,Reception/Security
2009,01 00 00,1,John Oxley Collection
2009,01 00 00,2,Phillip Bacon Gallery
2009,01 00 00,1,Infozone
2009,01 00 00,1,Heritage Collections Entry
2009,01 00 00,1,Phillip Bacon Gallery
2009,01 00 00,2,The Library Shop
2009,01 00 00,1,John Oxley Collection
2009,01 00 00,2,Reception/Security
2009,01 00 00,1,Heritage Collections Entry
2009,01 00 00,1,John Oxley Collection
2009,01 00 00,1,Phillip Bacon Gallery
2009,01 00 00,1,Heritage Collections Entry
2009,01 00 00,1,Phillip Bacon Gallery
2009,01 00 00,1,Reception/Security
2009,01 00 00,1,Reception/Security
2009,01 00 00,2,Heritage Collections Entry
2009,01 00 00,2,Phillip Bacon Gallery
2009,01 00 00,1,Infozone
2009,01 00 00,5,The Library Shop
2009,01 00 00,1,Heritage Collections Entry
2009,01 00 00,1,Reception/Security
2009,01 00 00,3,The Library Shop
2009,01 00 00,1,Heritage Collections Entry
2009,01 00 00,1,John Oxley Collection
2009,01 00 00,1,Infozone
2009,01 00 00,3,The Library Shop
2009,01 00 00,4,Reception/Security
2009,01 00 00,1,Infozone
2009,01 00 00,4,The Library Shop
2009,01 00 00,1,John Oxley Collection
2009,01 00 00,2,Phillip Bacon Gallery
2009,01 00 00,1,Infozone
2009,01 00 00,1,Infozone
2009,01 00 00,3,The Library Shop
2009,01 00 00,2,SLQ Indemnified Gallery
2009,01 00 00,1,Heritage Collections Entry
2009,01 00 00,1,John Oxley Collection
2009,01 00 00,2,The Library Shop
2009,01 00 00,1,SLQ Indemnified Gallery
2009,01 00 00,1,Heritage Collections Entry
2009,01 00 00,1,John Oxley Collection
2009,01 00 00,1,Phillip Bacon Gallery
2009,01 00 00,1,Micrographics
2009,01 00 00,1,Heritage Collections Entry
2009,01 00 00,1,John Oxley Collection
2009,01 00 00,2,Phillip Bacon Gallery
2009,01 00 00,3,Reception/Security
2009,01 00 00,1,Infozone
2009,01 00 00,2,The Library Shop
2009,01 00 00,17,Reception/Security
2009,01 00 00,10,SLQ Indemnified Gallery
2009,01 00 00,4,The Library Shop
2009,01 00 00,1,Heritage Collections Entry
2009,01 00 00,1,John Oxley Collection
2009,01 00 00,2,Phillip Bacon Gallery
2009,01 00 00,2,Infozone
2009,01 00 00,2,The Library Shop
2009,01 00 00,1,Heritage Collections Entry
2009,01 00 00,1,John Oxley Collection
2009,01 00 00,9,Reception/Security
2009,01 00 00,7,Heritage Collections Entry
2009,01 00 00,3,The Library Shop
2009,01 00 00,1,SLQ Indemnified Gallery
