Date,Time,Entries,Place
2008,00 00 00,1,Reception/Security
2008,00 00 00,1,Infozone
2008,00 00 00,5,The Library Shop
2008,00 00 00,1,SLQ Indemnified Gallery
2008,00 00 00,1,Micrographics
2008,00 00 00,1,Phillip Bacon Gallery
2008,00 00 00,1,Reception/Security
2008,00 00 00,1,Reception/Security
2008,00 00 00,13,Reception/Security
2008,00 00 00,1,Reception/Security
2008,00 00 00,1,Infozone
2008,00 00 00,4,The Library Shop
2008,00 00 00,1,SLQ Indemnified Gallery
2008,00 00 00,1,Infozone
2008,00 00 00,15,Reception/Security
2008,00 00 00,2,Reception/Security
2008,00 00 00,2,Reception/Security
2008,00 00 00,1,SLQ Indemnified Gallery
2008,00 00 00,2,Reception/Security
2008,00 00 00,3,Reception/Security
2008,00 00 00,3,The Library Shop
2008,00 00 00,1,Micrographics
2008,00 00 00,1,Reception/Security
2008,00 00 00,1,The Library Shop
2008,00 00 00,1,Micrographics
2008,00 00 00,1,Heritage Collections Entry
2008,00 00 00,1,John Oxley Collection
2008,00 00 00,1,Phillip Bacon Gallery
2008,00 00 00,2,Reception/Security
2008,00 00 00,4,Reception/Security
2008,00 00 00,1,Reception/Security
2008,00 00 00,1,Reception/Security
2008,00 00 00,5,The Library Shop
2008,00 00 00,3,Reception/Security
2008,00 00 00,1,Reception/Security
2008,00 00 00,1,Heritage Collections Entry
2008,00 00 00,4,Phillip Bacon Gallery
2008,00 00 00,1,Reception/Security
2008,00 00 00,12,Reception/Security
2008,00 00 00,1,Reception/Security
2008,00 00 00,2,Heritage Collections Entry
2008,00 00 00,4,John Oxley Collection
2008,00 00 00,2,Phillip Bacon Gallery
2008,00 00 00,24,Reception/Security
2008,00 00 00,2,Reception/Security
2008,00 00 00,2,Reception/Security
2008,00 00 00,5,Reception/Security
2008,00 00 00,4,Reception/Security
2008,00 00 00,2,John Oxley Collection
2008,00 00 00,1,Phillip Bacon Gallery
2008,00 00 00,1,Infozone
2008,00 00 00,2,Reception/Security
2008,00 00 00,1,Heritage Collections Entry
2008,00 00 00,1,Phillip Bacon Gallery
2008,00 00 00,2,Reception/Security
2008,00 00 00,4,Reception/Security
2008,00 00 00,1,Reception/Security
2008,00 00 00,2,Reception/Security
2008,00 00 00,1,Reception/Security
2008,00 00 00,1,John Oxley Collection
2008,00 00 00,1,Reception/Security
2008,00 00 00,3,Infozone
2008,00 00 00,4,Reception/Security
2008,00 00 00,5,The Library Shop
2008,00 00 00,1,Heritage Collections Entry
2008,00 00 00,1,John Oxley Collection
2008,00 00 00,1,Reception/Security
2008,00 00 00,2,SLQ Indemnified Gallery
2008,00 00 00,1,Reception/Security
2008,00 00 00,1,Infozone
2008,00 00 00,3,The Library Shop
2008,00 00 00,1,SLQ Indemnified Gallery
2008,00 00 00,8,Reception/Security
2008,01 00 00,1,Reception/Security
2008,01 00 00,3,Heritage Collections Entry
2008,01 00 00,2,Reception/Security
2008,01 00 00,2,The Library Shop
2008,01 00 00,1,Phillip Bacon Gallery
2008,01 00 00,2,Reception/Security
2008,01 00 00,2,Reception/Security
2008,01 00 00,4,The Library Shop
2008,01 00 00,1,John Oxley Collection
2008,01 00 00,2,Reception/Security
2008,01 00 00,1,Reception/Security
2008,01 00 00,1,Reception/Security
2008,01 00 00,1,Reception/Security
2008,01 00 00,1,Micrographics
2008,01 00 00,1,Heritage Collections Entry
2008,01 00 00,4,John Oxley Collection
2008,01 00 00,2,Phillip Bacon Gallery
2008,01 00 00,5,Reception/Security
2008,01 00 00,1,Reception/Security
2008,01 00 00,1,John Oxley Collection
2008,01 00 00,2,Reception/Security
2008,01 00 00,2,Reception/Security
2008,01 00 00,2,Infozone
2008,01 00 00,1,John Oxley Collection
2008,01 00 00,6,Phillip Bacon Gallery
2008,01 00 00,2,Phillip Bacon Gallery
2008,01 00 00,1,Heritage Collections Entry
2008,01 00 00,1,John Oxley Collection
2008,01 00 00,1,Reception/Security
2008,01 00 00,2,Reception/Security
